partNo,plateType,material,thickness,width,length,surfaceFinish,usage,pattern,grade,certification,description
5000001,Flat plate,Steel,2,200,500,Mill finish,Construction,-,-,ISO 9001 certified,Flat plate 2mm  200mm  500mm
5000002,Tread plate,Aluminum,3,300,1000,Polished,Automotive,Raised,Grade 6061,RoHS compliant,Tread plate 3mm  300mm  1000mm
5000003,Checker plate,Steel,4,250,1500,Galvanized,Industrial,Checkered,-,-,Checker plate 4mm  250mm  1500mm
5000004,Perforated plate,Stainless steel,1.5,150,500,Brushed,Decorative,-,Grade 304,-,Perforated plate 1.5mm  150mm  500mm
5000005,Diamond plate,Aluminum,2.5,200,1000,Powder-coated,Industrial,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  200mm  1000mm
5000006,Flat plate,Brass,1,100,500,Polished,Decorative,-,-,-,Flat plate 1mm  100mm  500mm
5000007,Tread plate,Steel,5,300,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 5mm  300mm  1500mm
5000008,Checker plate,Aluminum,3,250,1000,Galvanized,Industrial,Checkered,Grade 6061,RoHS compliant,Checker plate 3mm  250mm  1000mm
5000009,Perforated plate,Stainless steel,2,200,500,Brushed,Industrial,-,Grade 304,ASTM certified,Perforated plate 2mm  200mm  500mm
5000010,Diamond plate,Aluminum,2,150,750,Powder-coated,Automotive,Diamond,Grade 6061,-,Diamond plate 2mm  150mm  750mm
5000011,Flat plate,Steel,3,300,1000,Mill finish,Construction,-,-,ISO 9001 certified,Flat plate 3mm  300mm  1000mm
5000012,Tread plate,Aluminum,4,250,1500,Polished,Automotive,Raised,Grade 6061,RoHS compliant,Tread plate 4mm  250mm  1500mm
5000013,Checker plate,Steel,5,200,500,Galvanized,Industrial,Checkered,-,-,Checker plate 5mm  200mm  500mm
5000014,Perforated plate,Stainless steel,1.5,100,1000,Brushed,Industrial,-,Grade 304,ASTM certified,Perforated plate 1.5mm  100mm  1000mm
5000015,Diamond plate,Aluminum,3,300,750,Powder-coated,Automotive,Diamond,Grade 6061,RoHS compliant,Diamond plate 3mm  300mm  750mm
5000016,Flat plate,Brass,2,200,1000,Polished,Decorative,-,-,-,Flat plate 2mm  200mm  1000mm
